time,open,high,low,close,volume
2024-12-02,26.95,27.15,26.75,26.9,18575600
2024-12-03,26.85,27.0,26.6,27.0,15812100
2024-12-04,26.85,26.85,26.65,26.7,12508500
2024-12-05,26.7,27.85,26.4,27.85,44746700
2024-12-06,27.85,27.9,27.5,27.6,23751300
2024-12-09,27.65,27.9,27.5,27.65,15948700
2024-12-10,27.7,28.2,27.6,27.9,32689300
2024-12-11,27.9,28.15,27.6,27.75,17031500
2024-12-12,27.75,27.9,27.35,27.5,20965100
2024-12-13,27.3,27.4,27.1,27.2,17265900
2024-12-16,27.2,27.35,26.85,27.0,16652700
2024-12-17,27.0,27.1,26.85,27.0,10809400
2024-12-18,27.0,27.35,26.95,27.35,12794200
2024-12-19,27.0,27.15,26.8,26.85,30331800
2024-12-20,26.85,26.95,26.7,26.7,13746900
2024-12-23,26.75,27.05,26.75,27.0,12898800
2024-12-24,26.9,26.9,26.6,26.7,13462400
2024-12-25,26.75,27.15,26.75,27.15,17144300
2024-12-26,27.15,27.2,26.85,27.0,9975100
2024-12-27,27.0,27.0,26.8,26.85,11389200
2024-12-30,26.8,26.85,26.65,26.75,12168200
2024-12-31,26.75,26.75,26.6,26.65,10247400
2025-01-02,26.7,27.05,26.7,27.0,14961200
2025-01-03,26.9,27.0,26.6,26.6,13200100
2025-01-06,26.6,26.7,26.05,26.05,15250500
2025-01-07,26.15,26.4,26.05,26.05,14399600
2025-01-08,26.05,26.25,25.95,26.25,12957600
2025-01-09,26.3,26.3,25.9,26.0,9236900
2025-01-10,26.0,26.1,25.55,25.55,14273600
2025-01-13,25.55,26.05,25.45,25.9,13576000
2025-01-14,25.95,26.0,25.8,25.85,7660700
2025-01-15,26.0,26.25,25.9,26.2,11221600
2025-01-16,26.3,26.45,26.05,26.3,11206800
2025-01-17,26.3,26.5,26.1,26.5,13950100
2025-01-20,26.5,26.75,26.45,26.45,9654200
2025-01-21,26.6,26.6,26.2,26.3,10421500
2025-01-22,26.4,26.4,26.15,26.15,10280000
2025-01-23,26.2,26.75,26.15,26.65,15792000
2025-01-24,26.65,26.65,26.45,26.55,10401300
2025-02-03,26.5,26.6,26.25,26.4,16971700
2025-02-04,26.5,27.0,26.45,26.85,17358200
2025-02-05,26.85,27.0,26.75,26.8,14466500
2025-02-06,26.8,26.95,26.75,26.8,13535000
2025-02-07,26.8,26.8,26.6,26.65,12547400
2025-02-10,26.5,26.5,25.4,25.4,61096500
2025-02-11,25.45,26.1,25.45,26.1,28896000
2025-02-12,26.2,26.2,25.85,25.85,13651300
2025-02-13,25.95,26.0,25.85,25.9,9499100
2025-02-14,26.1,26.3,26.0,26.1,18580600
2025-02-17,26.15,26.25,26.05,26.15,14369400
2025-02-18,26.35,26.6,26.3,26.55,24939500
2025-02-19,26.6,26.6,26.4,26.5,13653000
2025-02-20,26.55,26.6,26.5,26.55,11910400
2025-02-21,26.55,26.6,26.4,26.45,11063800
2025-02-24,28.3,28.3,27.55,27.7,73891100
2025-02-25,27.6,27.7,27.2,27.5,31575300
2025-02-26,27.6,27.95,27.55,27.75,31819600
2025-02-27,27.8,28.45,27.6,28.45,51120800
2025-02-28,28.4,28.4,27.95,28.0,24214400
2025-03-03,28.05,28.25,28.0,28.05,20663700
2025-03-04,28.05,28.05,27.65,27.85,27424100
2025-03-05,27.85,27.9,27.55,27.55,30385500
2025-03-06,27.6,27.95,27.6,27.95,36975600
2025-03-07,28.0,28.1,27.75,28.05,33131200
2025-03-10,28.1,28.2,27.95,27.95,23580500
2025-03-11,27.6,28.15,27.6,28.15,26088500
2025-03-12,28.2,28.2,27.8,27.8,20641600
2025-03-13,27.85,28.05,27.7,27.7,24809400
2025-03-14,27.7,27.85,27.55,27.55,18279900
2025-03-17,27.9,28.15,27.75,27.85,19719700
2025-03-18,27.9,28.05,27.6,27.6,18741700
2025-03-19,27.6,27.6,27.1,27.25,37925600
2025-03-20,27.3,27.45,27.05,27.15,25022500
2025-03-21,27.1,27.25,27.05,27.15,18912200
2025-03-24,27.15,27.25,26.9,27.15,16229800
2025-03-25,27.25,27.4,27.1,27.2,20101000
2025-03-26,27.2,27.95,27.15,27.55,43980000
2025-03-27,27.7,27.7,27.45,27.5,12009700
2025-03-28,27.45,27.5,27.1,27.15,17070200
2025-03-31,27.05,27.1,26.75,26.75,26536400
2025-04-01,26.8,27.05,26.75,27.0,14018400
2025-04-02,27.15,27.4,27.1,27.25,16785400
2025-04-03,25.8,26.45,25.35,25.35,80695800
2025-04-04,23.6,24.85,23.6,24.6,73181200
2025-04-08,23.5,24.0,22.9,22.9,35443300
2025-04-09,21.3,22.3,21.3,21.3,77156800
2025-04-10,22.75,22.75,22.75,22.75,3062400
2025-04-11,24.2,24.3,23.5,24.3,76273700
