time,open,high,low,close,volume
2024-12-02,73.2,73.5,72.5,72.6,2724700
2024-12-03,72.4,73.0,72.4,72.7,2928400
2024-12-04,72.5,72.5,71.4,72.1,4106400
2024-12-05,71.9,73.7,71.8,73.7,5390800
2024-12-06,74.1,74.2,73.2,73.4,5635400
2024-12-09,73.4,73.6,73.1,73.2,2810900
2024-12-10,73.0,73.3,72.7,72.7,2512300
2024-12-11,73.0,73.7,72.2,72.7,2857600
2024-12-12,72.5,72.7,72.1,72.1,2674500
2024-12-13,72.0,72.0,71.0,71.1,3536600
2024-12-16,71.2,71.7,70.9,71.1,2462600
2024-12-17,71.0,71.3,71.0,71.0,1652300
2024-12-18,71.1,71.4,71.0,71.4,2486900
2024-12-19,71.0,71.2,70.3,70.4,3513100
2024-12-20,70.5,70.6,70.0,70.3,2753800
2024-12-23,70.9,71.0,70.3,70.3,1755400
2024-12-24,70.4,70.6,69.9,70.2,3833400
2024-12-25,70.2,71.2,70.2,70.7,3713100
2024-12-26,71.1,71.3,70.5,70.5,2134200
2024-12-27,70.5,71.1,70.4,70.4,2398100
2024-12-30,70.3,70.8,70.0,70.1,1654300
2024-12-31,70.2,70.8,70.0,70.0,2800400
2025-01-02,70.1,70.9,70.0,70.8,2326400
2025-01-03,70.8,70.8,69.6,69.7,2679200
2025-01-06,69.8,70.2,67.2,67.2,5156900
2025-01-07,67.3,68.2,66.5,66.8,5735600
2025-01-08,66.9,68.0,66.6,67.7,2812900
2025-01-09,67.8,68.1,66.8,67.3,1886700
2025-01-10,67.3,67.4,65.5,65.5,2905200
2025-01-13,65.4,65.5,64.4,65.0,3672000
2025-01-14,65.0,65.3,63.7,63.7,3586600
2025-01-15,64.5,66.4,64.0,65.8,4159100
2025-01-16,66.5,66.5,65.3,66.3,2458700
2025-01-17,66.3,66.4,65.7,65.9,1689700
2025-01-20,66.0,66.3,65.5,65.5,1814200
2025-01-21,65.6,66.4,65.4,65.7,2258500
2025-01-22,65.8,66.2,65.2,65.2,2338800
2025-01-23,65.3,66.1,65.2,65.4,3685200
2025-01-24,65.5,68.0,65.4,68.0,6680300
2025-02-03,67.8,68.4,67.0,68.0,4360300
2025-02-04,68.1,68.8,68.1,68.6,3948000
2025-02-05,68.7,68.7,67.3,67.5,4852700
2025-02-06,67.5,68.1,67.2,67.4,2799000
2025-02-07,67.7,68.0,67.2,67.7,2265600
2025-02-10,67.8,69.7,67.8,68.8,6909800
2025-02-11,68.8,68.9,68.1,68.7,2435600
2025-02-12,68.7,69.1,68.3,69.0,2088500
2025-02-13,68.8,69.0,68.3,68.9,1824000
2025-02-14,69.2,69.4,67.8,68.1,2983400
2025-02-17,68.1,68.4,66.2,66.4,5693000
2025-02-18,66.4,67.2,66.0,66.4,2602400
2025-02-19,66.6,67.7,66.6,67.7,3261800
2025-02-20,68.0,68.0,67.5,68.0,2935400
2025-02-21,68.0,68.0,67.2,67.6,2315500
2025-02-24,67.2,67.7,66.8,67.6,3245600
2025-02-25,67.8,68.9,67.8,68.4,5119200
2025-02-26,68.4,68.6,68.0,68.3,2082800
2025-02-27,68.5,69.3,68.2,68.4,4565500
2025-02-28,68.4,68.5,67.5,67.7,3925400
2025-03-03,67.8,68.4,67.7,68.0,2758100
2025-03-04,68.0,69.1,67.4,69.1,5946400
2025-03-05,69.3,70.2,68.2,68.2,6222600
2025-03-06,68.4,69.2,68.2,69.2,4342500
2025-03-07,69.2,70.0,68.4,69.0,4410100
2025-03-10,69.0,69.9,68.7,68.9,5117800
2025-03-11,68.2,68.9,68.1,68.9,4533500
2025-03-12,68.9,69.7,68.7,68.7,4987800
2025-03-13,68.7,71.2,68.7,70.4,11573600
2025-03-14,70.5,71.9,70.4,71.1,7301100
2025-03-17,71.4,71.4,70.3,70.5,4528900
2025-03-18,70.7,71.3,69.6,69.6,6175200
2025-03-19,69.5,69.6,68.5,68.5,6651600
2025-03-20,68.5,69.1,68.2,68.4,3437000
2025-03-21,68.6,68.6,67.5,67.9,3804100
2025-03-24,67.8,68.8,67.8,68.5,2426900
2025-03-25,68.5,69.0,68.1,68.5,2767600
2025-03-26,68.6,69.6,68.3,68.3,3801800
2025-03-27,68.6,70.7,68.5,69.4,7235300
2025-03-28,69.4,69.6,68.3,68.5,3797400
2025-03-31,68.5,69.7,66.8,66.8,6976700
2025-04-01,67.8,67.8,65.6,66.2,6498900
2025-04-02,66.7,67.0,66.0,66.0,3637800
2025-04-03,63.0,63.9,61.4,61.4,10609500
2025-04-04,57.2,58.7,57.2,58.0,14296500
2025-04-08,55.1,56.8,54.0,54.0,5452200
2025-04-09,50.3,52.9,50.3,50.3,13474100
2025-04-10,53.8,53.8,53.8,53.8,491600
2025-04-11,55.4,57.5,53.1,57.1,14118700
