time,open,high,low,close,volume
2024-12-02,69.7,69.8,69.0,69.2,404200
2024-12-03,69.3,69.6,68.7,68.7,634300
2024-12-04,68.7,69.2,68.5,68.6,308300
2024-12-05,68.7,69.8,68.5,68.9,630900
2024-12-06,69.9,69.9,69.0,69.2,430800
2024-12-09,69.5,69.5,69.2,69.3,395900
2024-12-10,69.4,69.6,69.0,69.0,402500
2024-12-11,69.0,69.2,68.6,68.7,539000
2024-12-12,68.8,69.0,68.5,68.5,516000
2024-12-13,68.5,68.6,68.2,68.4,348000
2024-12-16,68.5,68.6,68.1,68.1,350100
2024-12-17,68.1,68.5,68.0,68.0,412900
2024-12-18,68.4,68.7,68.3,68.5,504100
2024-12-19,68.2,68.6,68.0,68.5,721400
2024-12-20,68.5,68.8,68.4,68.6,341700
2024-12-23,68.8,69.1,68.5,68.5,563700
2024-12-24,68.6,68.7,68.2,68.2,509800
2024-12-25,68.3,68.9,68.3,68.4,456300
2024-12-26,68.6,69.6,68.5,68.5,997100
2024-12-27,68.7,69.0,68.5,68.5,539900
2024-12-30,68.6,68.8,68.2,68.2,402400
2024-12-31,68.4,68.7,68.1,68.1,770800
2025-01-02,68.3,68.5,68.0,68.1,427800
2025-01-03,68.1,68.4,68.0,68.0,460500
2025-01-06,68.0,68.2,67.3,67.5,673300
2025-01-07,67.6,67.9,66.9,67.0,683200
2025-01-08,67.0,67.2,66.6,67.1,521700
2025-01-09,67.2,67.5,66.8,67.0,369400
2025-01-10,67.0,67.5,66.7,66.7,422600
2025-01-13,66.7,67.1,66.2,66.4,542400
2025-01-14,66.5,67.4,66.5,66.9,397300
2025-01-15,67.2,67.4,66.8,66.8,395000
2025-01-16,67.1,67.3,66.6,66.9,493400
2025-01-17,67.2,67.2,66.6,66.8,321700
2025-01-20,67.2,68.2,66.8,67.7,662000
2025-01-21,68.0,68.1,67.1,67.1,349300
2025-01-22,67.5,67.5,66.7,66.8,313300
2025-01-23,66.8,67.2,66.7,67.0,317100
2025-01-24,67.0,67.9,66.8,67.9,432300
2025-02-03,67.8,67.8,66.9,67.1,463200
2025-02-04,66.9,67.3,66.9,67.1,398400
2025-02-05,67.5,68.1,67.4,67.8,652400
2025-02-06,68.2,68.2,67.5,67.6,539300
2025-02-07,67.6,68.0,67.3,67.3,818200
2025-02-10,67.2,67.6,66.9,67.3,732900
2025-02-11,67.3,67.9,66.5,67.0,671300
2025-02-12,67.0,67.5,67.0,67.1,344200
2025-02-13,67.1,67.1,66.6,66.7,650700
2025-02-14,67.3,67.9,67.0,67.7,1147200
2025-02-17,67.7,68.4,67.5,67.8,762900
2025-02-18,68.0,68.3,67.7,68.0,634400
2025-02-19,68.2,69.0,67.9,68.7,1389800
2025-02-20,69.2,69.3,68.5,68.8,601500
2025-02-21,68.6,68.8,68.2,68.4,767500
2025-02-24,68.2,68.8,67.8,68.6,1066000
2025-02-25,68.7,69.3,68.3,68.7,809600
2025-02-26,68.7,68.9,68.4,68.4,519300
2025-02-27,68.4,68.6,67.9,68.0,809600
2025-02-28,68.1,68.7,68.0,68.0,787600
2025-03-03,68.1,68.7,68.1,68.6,647800
2025-03-04,68.6,69.4,68.3,69.1,1445200
2025-03-05,69.2,69.3,68.4,68.4,740500
2025-03-06,68.3,68.5,68.1,68.3,829800
2025-03-07,68.3,68.4,67.7,67.8,1398100
2025-03-10,68.1,68.2,67.2,67.8,1420900
2025-03-11,67.6,67.7,67.0,67.4,523600
2025-03-12,67.8,68.3,67.4,67.9,761300
2025-03-13,67.9,68.8,67.8,68.3,1088000
2025-03-14,68.2,68.3,67.3,67.7,942800
2025-03-17,67.8,68.4,67.7,68.2,1117200
2025-03-18,68.6,69.9,68.1,69.1,2797200
2025-03-19,69.1,69.8,68.6,68.8,703700
2025-03-20,68.7,69.1,68.1,68.6,750000
2025-03-21,68.5,68.6,67.7,67.7,1173400
2025-03-24,68.0,68.0,67.0,67.2,1195100
2025-03-25,67.5,67.6,67.1,67.2,767600
2025-03-26,67.3,68.2,67.2,67.5,548300
2025-03-27,67.6,68.0,67.1,67.2,426500
2025-03-28,67.4,67.4,66.8,66.8,771800
2025-03-31,66.8,66.8,66.0,66.8,727900
2025-04-01,66.9,67.8,66.7,67.5,870900
2025-04-02,67.2,67.6,67.0,67.1,254300
2025-04-03,63.5,65.4,62.5,62.5,2014500
2025-04-04,58.2,60.8,58.2,58.7,2745000
2025-04-08,56.0,56.3,54.6,54.6,2632500
2025-04-09,50.8,56.0,50.8,50.8,2768600
2025-04-10,54.3,54.3,54.3,54.3,57500
2025-04-11,58.1,58.1,55.8,58.1,2256900
