time,open,high,low,close,volume
2024-12-02,41.1,41.15,40.75,40.75,3781200
2024-12-03,40.8,41.3,40.5,40.9,5187200
2024-12-04,40.7,40.85,40.1,40.1,5167400
2024-12-05,40.5,41.8,40.2,41.4,4852800
2024-12-06,41.6,42.0,41.2,41.5,4870000
2024-12-09,41.5,41.9,41.4,41.45,3619100
2024-12-10,41.45,41.65,40.95,40.95,4579300
2024-12-11,40.95,41.35,40.8,40.85,4020600
2024-12-12,40.9,41.15,40.75,40.75,2984800
2024-12-13,40.7,40.8,40.5,40.65,3126900
2024-12-16,40.65,41.15,40.55,40.95,2668000
2024-12-17,41.0,41.4,40.8,41.3,3708600
2024-12-18,41.3,41.6,40.9,40.9,2431900
2024-12-19,40.6,40.75,40.2,40.2,5724800
2024-12-20,40.4,40.45,40.2,40.35,3475300
2024-12-23,40.8,40.85,40.4,40.6,1992400
2024-12-24,40.5,40.6,40.1,40.35,3214900
2024-12-25,40.5,40.75,40.35,40.6,3559700
2024-12-26,40.75,41.3,40.65,40.65,3690900
2024-12-27,40.8,41.05,40.35,40.35,2847200
2024-12-30,40.45,40.6,40.3,40.3,2516300
2024-12-31,40.5,40.5,40.0,40.0,4191900
2025-01-02,40.1,40.2,39.95,40.0,3009900
2025-01-03,40.05,40.05,39.75,40.0,4269100
2025-01-06,40.0,40.0,39.75,40.0,3321300
2025-01-07,39.85,40.05,39.85,40.0,2849700
2025-01-08,40.0,40.05,39.7,40.0,2438700
2025-01-09,40.0,41.05,40.0,40.4,4211400
2025-01-10,40.4,40.7,39.9,40.0,2320000
2025-01-13,39.8,40.0,38.7,40.0,3978900
2025-01-14,39.7,40.0,39.4,40.0,5407600
2025-01-15,40.0,40.1,39.8,40.0,2707200
2025-01-16,40.2,40.65,40.0,40.0,5138800
2025-01-17,40.1,40.1,39.85,40.1,4153100
2025-01-20,40.0,40.2,39.9,40.0,2996900
2025-01-21,40.0,40.15,39.8,40.0,4494600
2025-01-22,40.0,40.0,39.5,39.5,3640500
2025-01-23,39.55,39.95,39.25,39.5,4632800
2025-01-24,39.5,39.8,39.4,39.5,4838500
2025-02-03,39.55,39.55,38.85,39.0,4738800
2025-02-04,38.95,39.15,38.55,38.75,6222400
2025-02-05,39.0,39.45,38.85,38.85,2719200
2025-02-06,39.0,39.2,38.8,38.8,2817600
2025-02-07,38.85,39.05,38.75,38.75,3013800
2025-02-10,38.7,38.75,37.8,37.8,5850900
2025-02-11,37.85,37.9,37.6,37.75,5898800
2025-02-12,37.8,38.3,37.8,38.0,3808700
2025-02-13,37.9,38.9,37.9,38.75,4922700
2025-02-14,38.95,39.05,38.75,38.8,4245600
2025-02-17,38.8,39.15,38.7,38.8,4038700
2025-02-18,38.9,39.2,38.85,38.9,3087100
2025-02-19,39.15,39.15,38.8,39.1,2932700
2025-02-20,39.2,40.8,39.15,40.55,11106700
2025-02-21,40.7,40.7,40.25,40.3,3893300
2025-02-24,40.1,40.3,39.95,40.25,4771900
2025-02-25,40.3,41.25,40.3,40.75,5566600
2025-02-26,40.8,40.9,40.5,40.7,4187200
2025-02-27,40.75,41.15,40.6,41.05,6360000
2025-02-28,41.05,41.6,40.85,41.2,8394500
2025-03-03,41.3,42.55,41.2,42.55,9467900
2025-03-04,42.55,43.15,42.05,42.05,11264800
2025-03-05,42.05,43.0,42.05,42.7,10682200
2025-03-06,42.85,43.6,42.85,43.6,11952800
2025-03-07,43.6,45.75,43.3,44.95,17823300
2025-03-10,45.0,45.8,44.7,45.3,12066400
2025-03-11,44.6,45.55,44.2,45.5,12103400
2025-03-12,45.4,47.3,45.4,46.95,15641200
2025-03-13,47.0,49.55,46.55,47.8,22269900
2025-03-14,47.7,48.9,47.7,47.9,16861700
2025-03-17,47.95,48.0,46.8,47.8,11017800
2025-03-18,47.6,48.75,46.8,47.3,12239500
2025-03-19,46.8,47.9,46.25,47.35,13442500
2025-03-20,47.35,48.2,46.95,47.35,13458400
2025-03-21,47.1,48.4,47.1,48.25,13695700
2025-03-24,48.45,51.4,48.35,51.3,15552100
2025-03-25,51.9,52.5,51.1,51.5,12918800
2025-03-26,51.8,52.2,50.2,51.5,9611000
2025-03-27,51.5,51.7,50.5,51.2,7904300
2025-03-28,51.1,51.9,50.7,51.2,8166000
2025-03-31,51.2,51.6,51.0,51.3,9374200
2025-04-01,51.8,53.5,51.5,53.0,11851000
2025-04-02,53.2,53.6,52.6,53.0,10657600
2025-04-03,50.3,51.6,49.3,49.3,23521900
2025-04-04,46.1,50.6,46.1,50.3,21595400
2025-04-08,48.7,49.5,46.8,47.0,21438100
2025-04-09,45.6,48.8,45.6,48.5,15153600
2025-04-10,51.8,51.8,51.8,51.8,752100
2025-04-11,51.8,53.7,51.0,53.5,14557800
